agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Clearwater Police Department,"Florida, USA",Miracle on US 19,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-79.pdf,Submission,pdf,27.9634791,-82.7972781,"645 Pierce St, Clearwater, FL 33756, USA",ChIJZYpqIufwwogRQIzyO9TKWJc,"establishment,point_of_interest,police",645,Pierce Street,Clearwater,,Florida,Pinellas County,United States,33756
Cleveland Police,United Kingdom,Rough Diamonds  Middlesbrough Partners Tackle Neighbourhood Safety,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-65.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Ms H  Persistent Caller to Police and Ambulance Service,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-28.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Choice Helpline to Reduce Honourbased Violence and Forced Marriage,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-49.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Mr T Problem Tenant,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-08.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Newton Neighbors,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-09.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Repeat Caller,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-10.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,The Clarences,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-11.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Know Your Role,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-12.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Middlesbroughs Theft from Motor Vehicle Initiative,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-13.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Diesel Theft at Limerick Road Dormanstown,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-14.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
