agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Durham Constabulary,United Kingdom,Community Peer Mentor Project,2019,https://popcenter.asu.edu/sites/default/files/19-12_durham_uk_community_peer_mentor.pdf,Finalist,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,The Herbert Protocol,2019,https://popcenter.asu.edu/sites/default/files/19-14_durham_uk_herbert_protocol.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,Cultivating Change,2019,https://popcenter.asu.edu/sites/default/files/19-13_durham_uk_cultivating_change.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,Problem Solving Vehicle Thefts which Exploit Flaws in the Salvage Vehicle Industry,2018,https://popcenter.asu.edu/sites/default/files/18-03_durham_uk.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,The Nicest Thief Ive Ever Met,2018,https://popcenter.asu.edu/sites/default/files/18-05_durham_uk.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,The Croft Unit: Whos Behaving Badly?,2018,https://popcenter.asu.edu/sites/default/files/18-08_durham_uk.pdf,Finalist,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,"Education is Compulsory, School is Not!",2018,https://popcenter.asu.edu/sites/default/files/18-15_durham_uk.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,Checkpoint Programme,2017,https://popcenter.asu.edu/sites/default/files/17-03.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,Reducing Dwelling Burglaries in Areas which Repeatedly Suffer High Rates,2017,https://popcenter.asu.edu/sites/default/files/17-04.pdf,Finalist,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,Horse Passporting,2013,https://popcenter.asu.edu/sites/default/files/13-22_durham_constabulary.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Constabulary,United Kingdom,Tackling Organised Crime,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-14.pdf,Submission,pdf,54.8533832,-1.8358105,"Consett DH8 5DL, UK",ChIJpaOCy5J9fkgRmxaHkPeW8kc,"establishment,point_of_interest,police",,,,,England,County Durham,United Kingdom,DH8 5DL
Durham Police Department,"North Carolina, USA",Dealing with Noise Complaints Around University Campuses,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-11.pdf,Submission,pdf,35.9948606,-78.8842044,"921 Holloway St, Durham, NC 27701, USA",ChIJj-a7UX3krIkRVvoraVG042w,"establishment,point_of_interest,police",921,Holloway Street,Durham,,North Carolina,Durham County,United States,27701
Durham Police Department,"New Hampshire, USA",Durham Alcohol Enforcement Initiative,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-15.pdf,Submission,pdf,43.1436165,-70.9072629,"86 Dover Rd, Durham, NH 03824, USA",ChIJm9MnPfaT4okR0FUUMnjf_cw,"establishment,point_of_interest,police",86,Dover Road,Durham,,New Hampshire,Strafford County,United States,3824
Durham Regional Police Service,"Ontario, Canada",Project Middleton,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2020/11-30.pdf,Submission,pdf,51.253775,-85.3232139,"Ontario, Canada",ChIJrxNRX7IFzkwRCR5iKVZC-HA,"administrative_area_level_1,political",,,,,Ontario,,Canada,
Eau Claire Police Department,"Wisconsin, USA",The Country Inn  Suites Hotel Nuisance Property Project,2016,https://popcenter.asu.edu/sites/default/files/16-04_eau_claire_police_department.pdf,Submission,pdf,44.8079622,-91.5036369,"721 Oxford Ave #1400, Eau Claire, WI 54703, USA",ChIJYYHCTfO9-IcRX04BGITHxlI,"establishment,point_of_interest",721,Oxford Avenue,Eau Claire,,Wisconsin,Eau Claire County,United States,54703
Eau Claire Police Department,"Wisconsin, USA",The Eau Claire Wisconsin Metal Theft Initative: Crime Facilitators  Where the Problem Meets the Solution,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-01.pdf,Submission,pdf,44.8079622,-91.5036369,"721 Oxford Ave #1400, Eau Claire, WI 54703, USA",ChIJYYHCTfO9-IcRX04BGITHxlI,"establishment,point_of_interest",721,Oxford Avenue,Eau Claire,,Wisconsin,Eau Claire County,United States,54703
Edmonton Police Service,"Alberta, Canada",Community Action Team,2019,https://popcenter.asu.edu/sites/default/files/19-16_edmonton_ab_community_action_team.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Contextual Analysis of Crime,2019,https://popcenter.asu.edu/sites/default/files/19-17_edmonton_ab_contextual_analysis_of_crime.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Youngstown Capital Region Housing Project,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-23.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Report a Drug House: Keeping Drug Dealers on the Run,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-09.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",The Dickensfield Community Partnership,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-15.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Problem Ownership Support Team,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-16.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Child at Risk Response Teams,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-18.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",The True Cost of Prostitution: Court Costs and Vice Unit Strategies,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-20.pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",The Klondiker Hotel Project,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-21(F).pdf,Honorable Mention,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Preventing Theft from Auto,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-05(F).pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Fortified Drug Houses: A Problem Solved,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-06(F).pdf,Submission,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Family Violence Followup Teams,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-07(F).pdf,Honorable Mention,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
Edmonton Police Service,"Alberta, Canada",Community Development: Crime Prevention Through Environmental Design,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-18.pdf,Honorable Mention,pdf,53.5460983,-113.4937266,"Edmonton, AB, Canada",ChIJI__egEUioFMRXRX2SgygH0E,"locality,political",,,Edmonton,,Alberta,,Canada,
El Monte Police Department,"California, USA",Improving and Maintaining Public Awareness and Community Teamwork,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-10.pdf,Submission,pdf,34.0717092,-118.0300444,"El Monte City Hall West / El Monte Police, 11333 Valley Blvd, El Monte, CA 91731, USA",ChIJLaDxja_QwoARFbO_8ciJz_w,"establishment,local_government_office,point_of_interest,police",11333,Valley Boulevard,El Monte,,California,Los Angeles County,United States,91731
El Paso County Sheriff's Office,"Texas, USA",EricsonLashelle Quality of Life Project,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-10.pdf,Submission,pdf,31.811218,-106.25926,"3850 Justice St, El Paso, TX 79938, USA",ChIJhaIslXw5TIYRF1tD1uyTc1A,"establishment,local_government_office,point_of_interest,police",3850,Justice Street,El Paso,,Texas,El Paso County,United States,79938
El Paso Police Department,"Texas, USA",Stash House Task Force,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-12.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",The Driveby Shooting Response Team,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-11.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",West Texas H.I.D.T.A. Stash House Task Force,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-16.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",Pay Before You Pump Program,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-17.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",El Paso County Auto Theft Prevention Task Force,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-18.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",Border Partners AntiAuto Theft Project,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-19.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",Youth Initiative Program,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-17.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",The Angels Triangle,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-19.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
El Paso Police Department,"Texas, USA",San Jacinto Park Renovation Action Plan,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-11.pdf,Submission,pdf,31.7834127,-106.4612383,"911 N Raynor St, El Paso, TX 79903, USA",ChIJ1RwsDJdZ54YRVJn_AwYHxvM,"establishment,point_of_interest,police",911,North Raynor Street,El Paso,,Texas,El Paso County,United States,79903
Escambia County Sheriff's Office,"Florida, USA",Operation Brownsville,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-06.pdf,Submission,pdf,30.4422286,-87.2350242,"1700 W Leonard St, Pensacola, FL 32501, USA",ChIJn0Ty5HG_kIgRjwFPkOx5UmA,"establishment,local_government_office,point_of_interest,police",1700,West Leonard Street,Pensacola,,Florida,Escambia County,United States,32501
